store_id,name,displayName,postalCode,address,city,state,country,streetAddress,relevance,x,y
1,Walmart Supercenter,Supercenter,72756,2110 W Walnut St,Rogers,AR,US,2110 W Walnut St,0.804286,-94.149061,36.331307
2,Walmart Supercenter,Supercenter,72601,161 N Walmart Dr,Harrison,AR,US,161 N Walmart Dr,1,-93.139001,36.268971
3,Walmart Supercenter,Supercenter,30529,30983 Highway 441 S,Commerce,GA,US,30983 Highway 441 S,1,-83.456874,34.247238
4,Walmart Supercenter,Supercenter,72761,2901 Highway 412 E,Siloam Springs,AR,US,2901 Highway 412 E,1,-94.51259,36.183416
5,Walmart Supercenter,Supercenter,72032,1155 Hwy 65 North,Conway,AR,US,1155 Hwy 65 North,0.737143,-92.44,35.09
7,Walmart Supercenter,Supercenter,72120,9053 Highway 107,Sherwood,AR,US,9053 Highway 107,1,-92.236831,34.838682
8,Walmart Supercenter,Supercenter,72110,1621 North Business 9,Morrilton,AR,US,1621 North Business 9,1,-92.71869,35.16956
9,Walmart Supercenter,Supercenter,63801,1303 S Main St,Sikeston,MO,US,1303 S Main St,1,-89.585432,36.857059
10,Walmart Supercenter,Supercenter,74464,2020 S Muskogee Ave,Tahlequah,OK,US,2020 S Muskogee Ave,1,-94.979739,35.888325
11,Walmart Supercenter,Supercenter,72653,65 Wal Mart Dr,Mountain Home,AR,US,65 Wal Mart Dr,1,-92.39198,36.33359
12,Walmart Supercenter,Supercenter,74017,1500 S Lynn Riggs Blvd,Claremore,OK,US,1500 S Lynn Riggs Blvd,1,-95.62952,36.29465
13,Walmart Supercenter,Supercenter,64836,2705 Grand Ave,Carthage,MO,US,2705 Grand Ave,1,-94.31249,37.141789
14,Walmart Supercenter,Supercenter,65536,1800 S Jefferson Ave,Lebanon,MO,US,1800 S Jefferson Ave,1,-92.64937,37.65779
15,Walmart Supercenter,Supercenter,65775,1310 Preacher Roe Blvd,West Plains,MO,US,1310 Preacher Roe Blvd,1,-91.87091,36.714652
16,Walmart Supercenter,Supercenter,72956,2214 Fayetteville Rd,Van Buren,AR,US,2214 Fayetteville Rd,1,-94.353576,35.468764
17,Walmart Supercenter,Supercenter,64850,3200 Lusk Dr,Neosho,MO,US,3200 Lusk Dr,1,-94.396785,36.839349
